plan,box,task,deadline_s,delivery_s,slack_s,first,category,source_ref
q2,S001-MED-01,Q2-001,3600,917.6764212464412,2682.3235787535586,是,医疗物资,data/q2_boxes.csv
q2,S001-MED-02,Q2-001,3600,917.6764212464412,2682.3235787535586,否,医疗物资,data/q2_boxes.csv
q2,S001-WAT-01,Q2-001,3600,917.6764212464412,2682.3235787535586,是,饮用水,data/q2_boxes.csv
q2,S002-MED-01,Q2-007,3600,2429.408216480095,1170.5917835199052,是,医疗物资,data/q2_boxes.csv
q2,S002-WAT-01,Q2-016,3600,2850.8837074988996,749.1162925011004,是,饮用水,data/q2_boxes.csv
q2,S003-MED-01,Q2-020,7200,5374.447101466163,1825.552898533837,是,医疗物资,data/q2_boxes.csv
q2,S003-WAT-01,Q2-020,7200,5374.447101466163,1825.552898533837,是,饮用水,data/q2_boxes.csv
q2,S004-MED-01,Q2-024,7200,5464.430917724676,1735.569082275324,是,医疗物资,data/q2_boxes.csv
q2,S004-WAT-01,Q2-024,7200,5464.430917724676,1735.569082275324,是,饮用水,data/q2_boxes.csv
q2,S005-MED-01,Q2-004,10800,1128.8507657856853,9671.149234214314,是,医疗物资,data/q2_boxes.csv
q2,S005-WAT-01,Q2-018,10800,4066.671133434396,6733.328866565604,是,饮用水,data/q2_boxes.csv
q2,S006-MED-01,Q2-002,3600,935.501653223247,2664.498346776753,是,医疗物资,data/q2_boxes.csv
q2,S006-WAT-01,Q2-015,3600,1077.4213122433111,2522.578687756689,是,饮用水,data/q2_boxes.csv
q2,S007-MED-01,Q2-008,3600,2484.8500827257185,1115.1499172742815,是,医疗物资,data/q2_boxes.csv
q2,S007-WAT-01,Q2-008,3600,2484.8500827257185,1115.1499172742815,是,饮用水,data/q2_boxes.csv
q2,S008-MED-01,Q2-021,7200,5115.816101579408,2084.1838984205924,是,医疗物资,data/q2_boxes.csv
q2,S008-WAT-01,Q2-010,7200,3153.9743544037046,4046.0256455962954,是,饮用水,data/q2_boxes.csv
q2,S009-MED-01,Q2-012,10800,3817.379133108846,6982.620866891154,是,医疗物资,data/q2_boxes.csv
q2,S009-WAT-01,Q2-022,10800,5614.954364268154,5185.045635731846,是,饮用水,data/q2_boxes.csv
q2,S010-MED-01,Q2-003,3600,1765.4294062713466,1834.5705937286534,是,医疗物资,data/q2_boxes.csv
q2,S010-WAT-01,Q2-019,3600,3374.372375840923,225.6276241590772,是,饮用水,data/q2_boxes.csv
q2,S011-MED-01,Q2-023,10800,5774.734246435762,5025.265753564238,是,医疗物资,data/q2_boxes.csv
q2,S011-WAT-01,Q2-023,10800,5774.734246435762,5025.265753564238,是,饮用水,data/q2_boxes.csv
q2,S012-MED-01,Q2-005,3600,1271.3434070745934,2328.6565929254066,是,医疗物资,data/q2_boxes.csv
q2,S012-WAT-01,Q2-005,3600,1271.3434070745934,2328.6565929254066,是,饮用水,data/q2_boxes.csv
q2,S013-MED-01,Q2-012,3600,3305.9781986892417,294.0218013107583,是,医疗物资,data/q2_boxes.csv
