符号,含义,单位
𝒱ι,"第 ι 个服务区，ι=1,2,…,15；O01 为临时调度中心",—
𝒞，𝒞ι,全部货箱集合（80 箱）；服务区 𝒱ι 的货箱集合,—
μβ，𝕧β,货箱 β 的质量与体积,kg，m³
θ,"运输机型，θ∈A,B,C",—
ℳθ，ℒθ,机型 θ 的最大载货质量与可用装载体积,kg，m³
μθ0,机型 θ 含电池的空载总质量,kg
ℛθ0，ℛθF,机型 θ 的空载与满载标准航程,m
ℛθω,机型 θ 携带载荷 ω 时的等效航程,m
𝒬θuse,机型 θ 单组电池的可用能量,kWh
r,返航安全余量比例（题目取 0.20）,—
δι𝔧,航段 ι→𝔧 的水平巡航距离,m
ηι𝔧+，ηι𝔧-,航段 ι→𝔧 的爬升高度与下降高度,m
ϖθ↑，ϖθc，ϖθ↓,爬升、巡航、下降速度,m/s
aθ,爬升能耗效率,—
gn,标准重力加速度，取 9.80665,m/s²
τθι𝔧，𝒬θι𝔧,航段飞行时间与航段能耗,s，kWh
ψ，𝒯,运输架次及其集合,—
bψ,架次 ψ 的准备开始时刻,s
χβ,货箱 β 的交付完成时刻,s
ℋβ,货箱 β 的硬时限（医疗期望与首批截止中的较小者）,s
εβ，𝔴β,货箱 β 的期望送达时刻与应急优先系数,s，—
ς,电池或能源组件的荷电状态（SOC）,—
𝒩full,等效完全充电时间,s
𝔏maxα↔β,端点 α、β 之间双向链路的最大允许传播损耗,dB
𝔇ι𝔧τ,时刻 τ 两通信端点的三维距离,km
𝒵ι𝔧τ,时刻 τ 链路 ι—𝔧 的可用性（0 或 1）,—
ϱ，ℬ,中继架次及其集合,—
ξκ,问题一中候选批次 κ 是否入选（0 或 1）,—
𝒰,"问题四的任务组数，𝒰∈2,3",—
νc𝒫,单元集合 𝒫 独立执行时对资源类 c 的最低需求,件
CV,组间工作量的变异系数,—
dθ，Χ,判定时附加的链路损耗裕量与视线净空,dB，m
