record_type,id,x,y,text,kind,width,height,source_ref,source,target,label,route
node,n0,0.265,0.91,"原始需求、机型参数
节点与 DEM",terminal,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n1,0.265,0.6366666666666667,"公共物理模型
航段几何、能耗、时序
充电与链路",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n2,0.265,0.3633333333333333,"问题一：单点能力与完整组批
安全载荷、集合划分
及目标顺序",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n3,0.265,0.09,"问题二：多架次运输调度
组批与路线、实体与电池
两类硬时限",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n4,0.755,0.09,"问题三：运输与中继联合调度
空间可达、时间在位
连续区间证明",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n5,0.755,0.3633333333333334,"固定问题三的全部任务
时刻与绑定",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n6,0.755,0.6366666666666667,"问题四：独立组与最低配置
复制／禁止复制、区间峰值
完全枚举",process,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
node,n7,0.755,0.91,"独立核验与解释
逐箱、资源、通信
规模／冗余／缺口／均衡",terminal,0.415,0.13,results/q1.json;results/q2.json;results/q3.json;results/q4.json,,,,
edge,,,,,,,,,n0,n1,,direct
edge,,,,,,,,,n1,n2,,direct
edge,,,,,,,,,n2,n3,,direct
edge,,,,,,,,,n3,n4,,direct
edge,,,,,,,,,n4,n5,,direct
edge,,,,,,,,,n5,n6,,direct
edge,,,,,,,,,n6,n7,,direct
